"Name","Unique_ID__c","Entity__r.Unique_ID__c","Field_Name__c","Order__c","Type__c"
"FLD00004408","VFGE_COL_REPORT_EXTRACT_NAME","VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Name","1.0","String"
"FLD00004409","VFGE_COL_REPORT_EXTRACT_HPLMN_OPERATOR_TADIG","VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.HPLMN_Operator_Tadig__c","2.0","String"
"FLD00004410","VFGE_COL_REPORT_EXTRACT_OPEN_DATE","VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.Open_date_Formula__c","3.0","Date"
"FLD00004411","VFGE_COL_REPORT_EXTRACT_SO_TYPE","VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.SO_Type__c","4.0","String"
"FLD00004412","VFGE_COL_REPORT_EXTRACT_VPLMN_OPERATOR_TADIG","VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.VPLMN_Operator_Tadig__c","5.0","String"
"FLD00004413","VFGE_COL_REPORT_EXTRACT_FINANCIAL_DIRECTION","VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.Financial_Direction__c","6.0","String"
"FLD00004414","VFGE_COL_REPORT_EXTRACT_HPLMN_HUB_TADIG_CODE","VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.HPLMN_HUB_TADIG_Code__c","7.0","String"
"FLD00004415","VFGE_COL_REPORT_EXTRACT_VPLMN_HUB_TADIG_CODE","VFGE_COL_REPORT_EXTRACT_SOURCE","Footprint_Service_Detail__c.Footprint_Service__r.Footprint__r.VPLMN_HUB_TADIG_Code__c","8.0","String"
"FLD00004416","VFGE_COL_REPORT_LOAD_DIRECTION","VFGE_COL_REPORT_LOAD_TARGET","DIRECTION","1.0","String"
"FLD00004417","VFGE_COL_REPORT_LOAD_VPMN","VFGE_COL_REPORT_LOAD_TARGET","VPMN","2.0","String"
"FLD00004418","VFGE_COL_REPORT_LOAD_VPMN_HUB","VFGE_COL_REPORT_LOAD_TARGET","VPMN_HUB","3.0","String"
"FLD00004419","VFGE_COL_REPORT_LOAD_HPMN","VFGE_COL_REPORT_LOAD_TARGET","HPMN","4.0","String"
"FLD00004420","VFGE_COL_REPORT_LOAD_HPMN_HUB","VFGE_COL_REPORT_LOAD_TARGET","HPMN_HUB","5.0","String"
"FLD00004421","VFGE_COL_REPORT_LOAD_CONNECTION_CALL_TYPE","VFGE_COL_REPORT_LOAD_TARGET","CONNECTION_CALL_TYPE","6.0","String"
"FLD00004422","VFGE_COL_REPORT_LOAD_STATUS","VFGE_COL_REPORT_LOAD_TARGET","STATUS","7.0","String"
"FLD00004423","VFGE_COL_REPORT_LOAD_DATE","VFGE_COL_REPORT_LOAD_TARGET","DATE","8.0","String"
"FLD00004424","VFGE_COL_REPORT_LOAD_SERVICE","VFGE_COL_REPORT_LOAD_TARGET","SERVICE","9.0","String"
"FLD00004425","VFGE_IOT_SYNC_2ND_PARTICIPANT_EXTRACT_ID","VFGE_IOT_SYNC_2ND_PARTICIPANT_EXTRACT_SOURCE","Id","1.0","String"
"FLD00004426","VFGE_IOT_SYNC_2ND_PARTICIPANT_LOAD_ID","VFGE_IOT_SYNC_2ND_PARTICIPANT_LOAD_TARGET","Id","1.0","String"
"FLD00004427","VFGE_IOT_SYNC_1SF_PARTICIPANT_EXTRACT_ID","VFGE_IOT_SYNC_1ST_PARTICIPANT_EXTRACT_SOURCE","Id","1.0","String"
"FLD00004428","VFGE_IOT_SYNC_1ST_PARTICIPANT_LOAD_ID","VFGE_IOT_SYNC_1ST_PARTICIPANT_LOAD_TARGET","Id","1.0","String"
"FLD00004429","VFGE_IOT_SYNC_DEAL_EXTRACT_ID","VFGE_IOT_SYNC_DEAL_EXTRACT_SOURCE","Id","1.0","String"
"FLD00004430","VFGE_IOT_SYNC_DEAL_LOAD_ID","VFGE_IOT_SYNC_DEAL_LOAD_TARGET","Id","1.0","String"
"FLD00004431","VFGE_IOT_SYNC_PERIOD_LOAD_ID","VFGE_IOT_SYNC_PERIOD_LOAD_TARGET","Id","1.0","String"
"FLD00004432","VFGE_IOT_SYNC_HISTORICAL_EXTRACT_ID","VFGE_IOT_SYNC_HISTORICAL_EXTRACT_SOURCE","Id","1.0","String"
"FLD00004433","VFGE_IOT_SYNC_HISTORICAL_LOAD_ID","VFGE_IOT_SYNC_HISTORICAL_LOAD_TARGET","Id","1.0","String"
"FLD00004434","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_EXTRACT_ID","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_EXTRACT_S","Id","1.0","String"
"FLD00004435","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_ID","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_T","Id","1.0","String"
"FLD00004436","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_STATUS","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_T","Status__c","2.0","String"
"FLD00004437","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_END_PRO","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_LOAD_T","End_Process_Date__c","4.0","Date"
"FLD00004438","VFGE_IOT_SYNC_HISTORICAL_EXTRACT_ERROR_MESSAGE","VFGE_IOT_SYNC_HISTORICAL_EXTRACT_SOURCE","Error_Message__c","2.0","String"
"FLD00004439","VFGE_IOT_SYNC_HISTORICAL_LOAD_ERROR_MESSAGE","VFGE_IOT_SYNC_HISTORICAL_LOAD_TARGET","Error_Message__c","2.0","String"
"FLD00004440","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_EXTRACT_ERRO","VFGE_IOT_SYNC_HISTORY_CLOSE_OPEN_ONES_EXTRACT_S","Error_Message__c","2.0","String"
"FLD00004441","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_EXTRACT_ID","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_EXTRACT_S","Id","1.0","String"
"FLD00004442","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_STATU","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_T","Status__c","1.0","String"
"FLD00004443","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_START","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_LOAD_T","Start_Process_Date__c","2.0","Date"
"FLD00004444","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_FILTER_FTY","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_FILTER","filterType","1.0","String"
"FLD00004445","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_FILTER_FIL","VFGE_IOT_SYNC_HISTORY_START_NEW_PROCESS_FILTER","filter","2.0","Boolean"
"FLD00004446","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_ID","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_T","Id","1.0","String"
"FLD00004447","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_ERROR_ME","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_T","Error Message","2.0","String"
"FLD00004448","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_DATA_UPL","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_T","Data Uploaded to SFDC","3.0","Boolean"
"FLD00004449","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_END_UPLO","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_LOAD_T","End Upload Data Date","4.0","Date"
"FLD00004450","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_ID","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_S","Id","1.0","String"
"FLD00004451","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_ERROR","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_S","Error_Message__c","2.0","String"
"FLD00004452","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_DATA_","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_S","Data_Uploaded_to_SFDC","3.0","Boolean"
"FLD00004453","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_END_U","VFGE_IOT_SYNC_GET_CURRENT_PROCESS_ID_EXTRACT_S","End_Upload_Data_Date__c","4.0","Date"
"FLD00004454","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_ID","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_SOU","Id","1.0","String"
"FLD00004455","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_ERM","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_SOU","Error Message","2.0","String"
"FLD00004456","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_DUS","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_SOU","Data Uploaded to SFDC","3.0","Boolean"
"FLD00004457","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_EUD","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_EXTRACT_SOU","End Upload Data Date","4.0","String"
"FLD00004458","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_ID","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_TARGET","Id","1.0","String"
"FLD00004459","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_STATUS","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_TARGET","Status__c","2.0","String"
"FLD00004460","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_ERRORM","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_TARGET","Error_Message__c","3.0","String"
"FLD00004461","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_EPD","VFGE_IOT_SYNC_HISTORY_IMPORT_CSV_FILES_LOAD_TARGET","End_Process_Date__c","4.0","Date"
"FLD00004462","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_IOT_DIS_CONTRACT_STATUS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","IOT_DIS_CONTRACT_STATUS","1.0","String"
"FLD00004463","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_NAME","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","NAME","2.0","String"
"FLD00004464","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_DEAL_INDEX","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","DEAL_INDEX","3.0","Integer"
"FLD00004465","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_DEAL_STATUS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","DEAL_STATUS","4.0","String"
"FLD00004466","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_VRS_DEAL_STATUS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","VRS_DEAL_STATUS","5.0","String"
"FLD00004467","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_NEGOTIATION_TEAM","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","NEGOTIATION_TEAM","6.0","String"
"FLD00004468","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_CONTRACT_MANAGER","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","CONTRACT_MANAGER","7.0","String"
"FLD00004469","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LAST_DAY_OF_SIGNATURE","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LAST_DAY_OF_SIGNATURE","9.0","Date"
"FLD00004470","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LAST_UPDATE_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LAST_UPDATE_DATE","10.0","Date"
"FLD00004471","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_NOTES","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","NOTES","11.0","String"
"FLD00004472","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_COMMERCIAL_COMMENTS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","COMMERCIAL_COMMENTS","12.0","String"
"FLD00004473","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_COMMERCIAL_APPROVAL","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","COMMERCIAL_APPROVAL","13.0","String"
"FLD00004474","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_COMMERCIAL_APPROVAL_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","COMMERCIAL_APPROVAL_DATE","14.0","Date"
"FLD00004475","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_FINANCE_OWNER","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","FINANCE_OWNER","15.0","String"
"FLD00004476","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_FINANCE_APPROVAL","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","FINANCE_APPROVAL","16.0","String"
"FLD00004477","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_FINANCE_COMMENTS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","FINANCE_COMMENTS","17.0","String"
"FLD00004478","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_FINANCE_APPROVAL_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","FINANCE_APPROVAL_DATE","18.0","Date"
"FLD00004479","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TAX_OWNER","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TAX_OWNER","19.0","String"
"FLD00004480","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TAX_APPROVAL","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TAX_APPROVAL","20.0","String"
"FLD00004481","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TAX_COMMENTS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TAX_COMMENTS","21.0","String"
"FLD00004482","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TAX_APPROVAL_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TAX_APPROVAL_DATE","22.0","Date"
"FLD00004483","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_CSS_SIGNED_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","CSS_SIGNED_DATE","23.0","Date"
"FLD00004484","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_CSS_COMMENTS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","CSS_COMMENTS","24.0","String"
"FLD00004485","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOA_SIGNED_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LOA_SIGNED_DATE","25.0","Date"
"FLD00004486","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOA_COMMENTS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LOA_COMMENTS","26.0","String"
"FLD00004487","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_CONTACT_PERSON","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","CONTACT_PERSON","27.0","String"
"FLD00004488","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TEL_NO","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TEL_NO","28.0","String"
"FLD00004489","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EMAIL_ADDRESS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","EMAIL_ADDRESS","29.0","String"
"FLD00004490","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_TYPE_OF_IOT_DISC_CONTRACT","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","TYPE_OF_IOT_DISC_CONTRACT","30.0","String"
"FLD00004491","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOA_STATUS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LOA_STATUS","31.0","String"
"FLD00004492","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_NOTIFY_CONTRACT_MANAGER","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","NOTIFY_CONTRACT_MANAGER","32.0","String"
"FLD00004493","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_CONTRACT_MANAGER_NOTIFIED","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","CONTRACT_MANAGER_NOTIFIED","33.0","String"
"FLD00004494","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_PLANNED_NEGOTIATION_START_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","PLANNED_NEGOTIATION_START_DATE","34.0","Date"
"FLD00004495","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_ACTUAL_NEGOTIATION_START_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","ACTUAL_NEGOTIATION_START_DATE","35.0","Date"
"FLD00004496","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_DAYS_TO_NEGOTIATION_START","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","DAYS_TO_NEGOTIATION_START","36.0","Integer"
"FLD00004497","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_PLANNED_NEGOTIATION_END_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","PLANNED_NEGOTIATION_END_DATE","37.0","Date"
"FLD00004498","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_ACTUAL_NEGOTIATION_FINISH_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","ACTUAL_NEGOTIATION_FINISH_DATE","38.0","Date"
"FLD00004499","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_AUTO_RENEWAL","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","AUTO_RENEWAL","39.0","String"
"FLD00004500","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_VALIDATION_STATUS","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","VALIDATION_STATUS","40.0","String"
"FLD00004501","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_ID","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","ID","1.0","String"
"FLD00004502","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_NAME","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","NAME","2.0","String"
"FLD00004503","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_CONTRACT_CATEGORY__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","CONTRACT_CATEGORY__C","3.0","String"
"FLD00004504","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_CONTRACT_NAME__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","CONTRACT_NAME__C","4.0","String"
"FLD00004505","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_DEAL_STATUS__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","DEAL_STATUS__C","5.0","String"
"FLD00004506","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_INITIAL_CONTACT_COMMENTS__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","INITIAL_CONTACT_COMMENTS__C","7.0","String"
"FLD00004507","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_NEGOTIATION_TEAM__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","NEGOTIATION_TEAM__C","8.0","String"
"FLD00004508","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_CONTRACT_MANAGER__C","VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOAD_TARGET","CONTRACT_MANAGER__C","9.0","String"
